"technology"                                            "LTE"
"testname"                                              "Chariot"
"timestamp"                                             "2000"
"mix"                                                   "TR10_Dst-Src"
"Source IP"                                             "192.168.20.10"
"Destination IP"                                        "192.168.50.10"
"Throughput"                                            "125504"
"Avg Throughput"                                        "125504"
"Min Throughput"                                        "125504"
"Max Throughput"                                        "125504"
"Total Measured Time"                                   "2"
"Total Bytes Sent"                                      "31376"
"Total Bytes Sent By Source"                            "N/A"
"Total Bytes Sent By Destination"                       "31376"
"Total Bytes Received"                                  "31376"
"Total Bytes Received By Source"                        "31376"
"Total Bytes Received By Destination"                   "N/A"
"Bytes Lost Percentage"                                 "0.000"
"Total Bytes Lost"                                      "0"
"Total Bytes Lost By Source"                            "N/A"
"Total Bytes Lost By Destination"                       "0"
"Datagrams Lost"                                        "0"
"Datagrams Lost By Source"                              "N/A"
"Datagrams Lost By Destination"                         "0"
"Maximum Consecutive DG Lost"                           "0"
"Max Maximum Consecutive DG Lost"                       "0"
"Max Maximum Consecutive DG Lost By Source"             "N/A"
"Max Maximum Consecutive DG Lost By Destination"        "0"
"Total Datagrams Sent"                                  "424"
"Total Datagrams Sent By Source"                        "N/A"
"Total Datagrams Sent By Destination"                   "424"
"Total Datagrams Received"                              "424"
"Total Datagrams Received By Source"                    "424"
"Total Datagrams Received By Destination"               "N/A"
"Total Duplicate DG Sent"                               "N/A"
"Total Duplicate DG Sent By Source"                     "N/A"
"Total Duplicate DG Sent By Destination"                "N/A"
"Total Duplicate DG Received"                           "0"
"Total Duplicate DG Received By Source"                 "0"
"Total Duplicate DG Received By Destination"            "N/A"
"Total DG Out of Order"                                 "0"
"Jitter"                                                "5.000"
"Avg Jitter"                                            "5.000"
"Min Jitter"                                            "5"
"Max Jitter"                                            "5"
"Delay Variation"                                       "31"
"Max Delay Variation"                                   "31"
"One-Way Delay"                                         "41.000"
"Avg One-Way Delay"                                     "41.000"
"Min One-Way Delay"                                     "41"
"Max One-Way Delay"                                     "41"
"Estimated Error"                                       "N/A"
"Maximum Error"                                         "N/A"
-- Ignore 
"Mos"                                                   "N/A"
"Avg Mos"                                               "N/A"
"Min Mos"                                               "N/A"
"Max Mos"                                               "N/A"
"R-value"                                               "N/A"
"Avg R-value"                                           "N/A"
"End-to-End Delay"                                      "N/A"
"Avg End-to-End Delay"                                  "N/A"
"Jitter Buffer Lost Datagrams"                          "N/A"
"Total Jitter Buffer Lost Datagrams"                    "N/A"
"DF"                                                    "N/A"
"Avg DF"                                                "N/A"
"Min DF"                                                "N/A"
"Max DF"                                                "N/A"
"MLR"                                                   "N/A"
"Avg MLR"                                               "N/A"
"Min MLR"                                               "N/A"
"Max MLR"                                               "N/A"
"RSSI for Source"                                       "N/A"
"RSSI for Destination"                                  "N/A"
"BSSID for Source"                                      "N/A"
"BSSID for Destination"                                 "N/A"
"SSID for Source"                                       "N/A"
"SSID for Destination"                                  "N/A"
"Wi-Fi Link Speed for Source"                           "N/A"
"Wi-Fi Link Speed for Destination"                      "N/A"
"Wi-Fi Frequency for Source"                            "N/A"
"Wi-Fi Frequency for Destination"                       "N/A"
"Wi-Fi Channel for Source"                              "N/A"
"Wi-Fi Channel for Destination"                         "N/A"
"Latitude for Source"                                   "N/A"
"Latitude for Destination"                              "N/A"
"Longitude for Source"                                  "N/A"
"Longitude for Destination"                             "N/A"
"Total HTTP Video Upshifts"                             "N/A"
"Total HTTP Video Downshifts"                           "N/A"
"Total HTTP Video Very Low Quality Segments"            "N/A"
"Total HTTP Video Low Quality Segments"                 "N/A"
"Total HTTP Video Medium Quality Segments"              "N/A"
"Total HTTP Video High Quality Segments"                "N/A"
"Total HTTP Video Very High Quality Segments"           "N/A"
"Avg HTTP Video Prebuffering Duration"                  "N/A"
"Min HTTP Video Prebuffering Duration"                  "N/A"
"Max HTTP Video Prebuffering Duration"                  "N/A"
"Total HTTP Video Stopped Count"                        "N/A"
"Total HTTP Video Stopped Duration"                     "N/A"
"Total HTTP Video Buffer Full Count"                    "N/A"
"Total HTTP Video Buffer Full Duration"                 "N/A"
"HTTP Video Rate"                                       "N/A"
"Avg HTTP Video Rate"                                   "N/A"
"Min HTTP Video Rate"                                   "N/A"
"Max HTTP Video Rate"                                   "N/A"
"CPU Utilization for Source"                            "N/A"
"CPU Utilization for Destination"                       "N/A"
